"filename", "language", "JavaScript", "Log", "PHP", "Markdown", "JSON", "XML", "CSS", "comment", "blank", "total"
"c:\Users\kevin\OneDrive\Desktop\Proyecto de Programación\Proyectos Personales\webBCommerce\BCommerceBackEnd\bcommerceBackEnd\README.md", "Markdown", 0, 0, 0, 46, 0, 0, 0, 0, 22, 68
"c:\Users\kevin\OneDrive\Desktop\Proyecto de Programación\Proyectos Personales\webBCommerce\BCommerceBackEnd\bcommerceBackEnd\app\Console\Commands\CheckArchitecture.php", "PHP", 0, 0, 319, 0, 0, 0, 0, 125, 84, 528
"c:\Users\kevin\OneDrive\Desktop\Proyecto de Programación\Proyectos Personales\webBCommerce\BCommerceBackEnd\bcommerceBackEnd\app\Console\Commands\CheckLowStock.php", "PHP", 0, 0, 70, 0, 0, 0, 0, 19, 20, 109
"c:\Users\kevin\OneDrive\Desktop\Proyecto de Programación\Proyectos Personales\webBCommerce\BCommerceBackEnd\bcommerceBackEnd\app\Console\Commands\CheckOutOfStockProducts.php", "PHP", 0, 0, 33, 0, 0, 0, 0, 1, 10, 44
"c:\Users\kevin\OneDrive\Desktop\Proyecto de Programación\Proyectos Personales\webBCommerce\BCommerceBackEnd\bcommerceBackEnd\app\Console\Commands\CheckShippingDelays.php", "PHP", 0, 0, 59, 0, 0, 0, 0, 16, 17, 92
"c:\Users\kevin\OneDrive\Desktop\Proyecto de Programación\Proyectos Personales\webBCommerce\BCommerceBackEnd\bcommerceBackEnd\app\Console\Commands\DebugFeedback.php", "PHP", 0, 0, 86, 0, 0, 0, 0, 20, 19, 125
"c:\Users\kevin\OneDrive\Desktop\Proyecto de Programación\Proyectos Personales\webBCommerce\BCommerceBackEnd\bcommerceBackEnd\app\Console\Commands\DownloadProductImages.php", "PHP", 0, 0, 134, 0, 0, 0, 0, 47, 38, 219
"c:\Users\kevin\OneDrive\Desktop\Proyecto de Programación\Proyectos Personales\webBCommerce\BCommerceBackEnd\bcommerceBackEnd\app\Console\Commands\JwtDebugCommand.php", "PHP", 0, 0, 73, 0, 0, 0, 0, 31, 18, 122
"c:\Users\kevin\OneDrive\Desktop\Proyecto de Programación\Proyectos Personales\webBCommerce\BCommerceBackEnd\bcommerceBackEnd\app\Console\Commands\MakeCustomCommand.php", "PHP", 0, 0, 11, 0, 0, 0, 0, 14, 6, 31
"c:\Users\kevin\OneDrive\Desktop\Proyecto de Programación\Proyectos Personales\webBCommerce\BCommerceBackEnd\bcommerceBackEnd\app\Console\Commands\SendDailySalesReport.php", "PHP", 0, 0, 48, 0, 0, 0, 0, 6, 13, 67
"c:\Users\kevin\OneDrive\Desktop\Proyecto de Programación\Proyectos Personales\webBCommerce\BCommerceBackEnd\bcommerceBackEnd\app\Domain\Entities\AccountingAccountEntity.php", "PHP", 0, 0, 13, 0, 0, 0, 0, 0, 3, 16
"c:\Users\kevin\OneDrive\Desktop\Proyecto de Programación\Proyectos Personales\webBCommerce\BCommerceBackEnd\bcommerceBackEnd\app\Domain\Entities\AccountingEntryEntity.php", "PHP", 0, 0, 13, 0, 0, 0, 0, 0, 3, 16
"c:\Users\kevin\OneDrive\Desktop\Proyecto de Programación\Proyectos Personales\webBCommerce\BCommerceBackEnd\bcommerceBackEnd\app\Domain\Entities\AccountingTransactionEntity.php", "PHP", 0, 0, 36, 0, 0, 0, 0, 0, 8, 44
"c:\Users\kevin\OneDrive\Desktop\Proyecto de Programación\Proyectos Personales\webBCommerce\BCommerceBackEnd\bcommerceBackEnd\app\Domain\Entities\CartItemEntity.php", "PHP", 0, 0, 57, 0, 0, 0, 0, 1, 11, 69
"c:\Users\kevin\OneDrive\Desktop\Proyecto de Programación\Proyectos Personales\webBCommerce\BCommerceBackEnd\bcommerceBackEnd\app\Domain\Entities\CategoryEntity.php", "PHP", 0, 0, 250, 0, 0, 0, 0, 23, 41, 314
"c:\Users\kevin\OneDrive\Desktop\Proyecto de Programación\Proyectos Personales\webBCommerce\BCommerceBackEnd\bcommerceBackEnd\app\Domain\Entities\ChatEntity.php", "PHP", 0, 0, 74, 0, 0, 0, 0, 2, 14, 90
"c:\Users\kevin\OneDrive\Desktop\Proyecto de Programación\Proyectos Personales\webBCommerce\BCommerceBackEnd\bcommerceBackEnd\app\Domain\Entities\DiscountCodeEntity.php", "PHP", 0, 0, 159, 0, 0, 0, 0, 18, 30, 207
"c:\Users\kevin\OneDrive\Desktop\Proyecto de Programación\Proyectos Personales\webBCommerce\BCommerceBackEnd\bcommerceBackEnd\app\Domain\Entities\FavoriteEntity.php", "PHP", 0, 0, 88, 0, 0, 0, 0, 51, 18, 157
"c:\Users\kevin\OneDrive\Desktop\Proyecto de Programación\Proyectos Personales\webBCommerce\BCommerceBackEnd\bcommerceBackEnd\app\Domain\Entities\FeedbackEntity.php", "PHP", 0, 0, 179, 0, 0, 0, 0, 19, 34, 232
"c:\Users\kevin\OneDrive\Desktop\Proyecto de Programación\Proyectos Personales\webBCommerce\BCommerceBackEnd\bcommerceBackEnd\app\Domain\Entities\InvoiceEntity.php", "PHP", 0, 0, 48, 0, 0, 0, 0, 0, 9, 57
"c:\Users\kevin\OneDrive\Desktop\Proyecto de Programación\Proyectos Personales\webBCommerce\BCommerceBackEnd\bcommerceBackEnd\app\Domain\Entities\InvoiceItemEntity.php", "PHP", 0, 0, 26, 0, 0, 0, 0, 0, 4, 30
"c:\Users\kevin\OneDrive\Desktop\Proyecto de Programación\Proyectos Personales\webBCommerce\BCommerceBackEnd\bcommerceBackEnd\app\Domain\Entities\MessageEntity.php", "PHP", 0, 0, 62, 0, 0, 0, 0, 2, 12, 76
"c:\Users\kevin\OneDrive\Desktop\Proyecto de Programación\Proyectos Personales\webBCommerce\BCommerceBackEnd\bcommerceBackEnd\app\Domain\Entities\NotificationEntity.php", "PHP", 0, 0, 90, 0, 0, 0, 0, 2, 15, 107
